@id,o:id,dcterms:title/0/@value,dcterms:identifier/0/@value,schema:foundingDate/0/@value,schema:homeLocation/0/value_resource_id,schema:homeLocation/0/display_title
http://jesuitplantationproject.org/api/items/1128,1128,Betsy,3008,1830-06-30,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1129,1129,Person,4088,1813-09-14,6,White Marsh
http://jesuitplantationproject.org/api/items/1130,1130,Person,4089,1813-09-14,6,White Marsh
http://jesuitplantationproject.org/api/items/1131,1131,Women,4090,1813-09-14,6,White Marsh
http://jesuitplantationproject.org/api/items/1132,1132,Nelly Hawkins Adamy,4091,1824-09-29,6,White Marsh
http://jesuitplantationproject.org/api/items/1133,1133,Boy,4092,1824-09-29,6,White Marsh
http://jesuitplantationproject.org/api/items/1134,1134,Girl,4093,1824-09-29,6,White Marsh
http://jesuitplantationproject.org/api/items/1135,1135,Sarah's Children,7002,1809-06-26,,
http://jesuitplantationproject.org/api/items/1136,1136,Charity,1001,1749,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1137,1137,Ignatius,1002,1749,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1138,1138,Winnifred,1003,1749,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1139,1139,Michael ,1004,1749,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1140,1140,John,1005,1755-02-22,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1141,1141,Sarah,1006,1755-02-17,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1142,1142,Robert,1007,1755-06-15,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1143,1143,Dicky,1008,1755-10,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1144,1144,Bob,1009,1756-02,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1145,1145,Dina,1010,1759-10-29,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1146,1146,Peter,1011,1759-05,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1147,1147,Sarah,1012,1759-05,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1148,1148,Margaret,1013,1758-02,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1149,1149,Eleanor,1014,1759-12-20,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1150,1150,Eleanor,1015,1754,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1151,1151,George,1016,1755,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1152,1152,Mary,1017,1756-11-29,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1153,1153,Statia,1018,1763-03-11,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1154,1154,Benjamin,1019,1761-04-19,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1155,1155,Catherine,1020,1761-04-05,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1156,1156,Nell,1021,1759-12-27,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1157,1157,Elizabeth,1023,1762-09-10,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1158,1158,Margaret,1024,1762-11-02,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1159,1159,Harry,1025,1764-08-06,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1160,1160,Lucy,1026,1765-06-02,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1161,1161,Jeremiah,1027,1765-09-16,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1162,1162,Monica,1028,1765-09-25,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1163,1163,John,1029,1766-10,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1164,1164,Clara ,1030,1767-08-26,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1165,1165,Billy,1031,1767-10-12,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1166,1166,Henry,1032,1768-03-25,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1167,1167,Ignatius,1033,1770-08-07,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1168,1168,Edward,1034,1773-04-05,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1169,1169,Theresa,1035,1773-09-30,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1170,1170,Charles,1036,1773-10-05,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1171,1171,Joseph,1037,1775-01-05,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1172,1172,Mary Ann,1038,1775-05-11,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1173,1173,Jane,1039,1776-12-24,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1174,1174,Jacob,1040,1776-12-27,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1175,1175,Thomas,1041,1777-03-15,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1176,1176,Leonard,1042,1777-05-04,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1177,1177,Isaac,1043,1777-09-25,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1178,1178,Charity,1044,1778-01-22,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1179,1179,Daniel,1045,1778-01-29,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1180,1180,Alexius,1046,1778-04-02,1024,Port Tobacco
http://jesuitplantationproject.org/api/items/1181,1181,Eliza,1117,1827-07-06,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1182,1182,Sarah,1120,1828-10-12,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1183,1183,John Francis,1124,1829-05-17,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1184,1184,Sarah Ann Elizabeth,1128,1829-08-07,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1185,1185,Hillen,1130,1829-11-12,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1186,1186,Henry Johnson,1132,1829-11-22,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1187,1187,Lewis,1134,1830-01-24,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1188,1188,Judith,1136,1830-04-02,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1189,1189,Gabriel Isaac Queen,1139,1830-09-05,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1190,1190,Matilda Ann,1141,1831-09-09,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1191,1191,Robert,1142,1832-07-29,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1192,1192,Maria,1145,1828-11-19,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1193,1193,Henrietta,1156,1828-04-09,5,St. Thomas's Manor
http://jesuitplantationproject.org/api/items/1194,1194,Mary,3000,1765-12-27,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1195,1195,Matthew,3028,1771-10-16,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1196,1196,Thom,3030,1773-04-04,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1197,1197,Samuel,3032,1773-09-04,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1198,1198,Frances,3034,1775-02-07,4,St. Joseph's Manor
http://jesuitplantationproject.org/api/items/1199,1199,Margaret,3035,1777-08-24,4,St. Joseph's Manor
