Year,Place,Sum
1752,Newtown,18
1763,Fingale,22
1763,White Marsh,64
1788,Newtown,22
1810,Georgetown College,10
1811,Georgetown College,3
1812,Georgetown College,10
1813,Georgetown College,10
1814,Georgetown College,12
1820,St. Thomas's Manor,26
1831,St. Inigoe's Manor,90
1838,Newtown,44
1838,St. Inigoe's Manor,93
1838,St. Thomas's Manor,46
1838,White Marsh,91
1717,Newtown,15
1803,St. Joseph's Manor,11
1821,St. Inigoe's Manor,61
