added,OS-ID,Identifier,Title,Date,Date type,Date of Birth,Note,Type,File,Age,Value,Estimated Value,Relationship,Identifier,Relationship,Identifier,Location,SJ,Identifier,SJ,Identifier,Source
1,2063,4175,Amyita,1829-02-08,godparent,,,sacramental record,,,,,godparent of Cecilia,4172,,,White Marsh,John Smith,J057,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2062,4171,Amelia,1829-02-8,godparent,,,sacramental record,,,,,godparent of Susan,4158,,,White Marsh,John Smith,J057,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2067,4191,Cathy,1829-04-11,godparent,,"are 4183, 4191, and 4194 all the same person?",sacramental record,,,,,godparent of Christopher,4176,,,White Marsh,John Smith,J057,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1822.json
1,2035,1127,Anny,1829-05-17,godparent,,,sacramental record,,,,,godparent of John Francis,1124,,,St. Thomas's Manor,Franics Neale,J011,,,http://slaveryarchive.georgetown.edu/items/show/62
1,2010,1108,Henny,1829-08-07,godparent,,,sacramental record,,,,,godparent of Sarah Ann Elizabeth,1128,,,St. Thomas's Manor,Franics Neale,J011,,,http://slaveryarchive.georgetown.edu/items/show/62
1,2037,1133,Katey,1829-11-22,godparent,,,sacramental record,,,,,godparent of Henry,1132,,,St. Thomas's Manor,Franics Neale,J011,,,http://slaveryarchive.georgetown.edu/items/show/62
1,1455,1101,Dolly,1830-04-02,godparent,,,sacramental record,,,,,godparent of Judith,1136,,,St. Thomas's Manor,Franics Neale,J011,,,http://slaveryarchive.georgetown.edu/items/show/62
1,2038,1140,Theresia,1830-09-05,godparent,,,sacramental record,,,,,godparent of Gabriel Isaac,1139,,,St. Thomas's Manor,Franics Neale,J011,,,http://slaveryarchive.georgetown.edu/items/show/62
1,1298,6087,Rosanna,1831-03-09,godparent,,,sacramental record,,,,,godparent of Mary,6107,,,Newtown,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
1,2067,4191,Kitty Harrison,1831-03-13,godparent,,"are 4183, 4191, and 4194 all the same person?",sacramental record,,,,,godparent of Edward Harrison,4181,,,White Marsh,Fidelis Grivel,J009,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
1,1287,6068,Henny,1831-04-03,godparent,,,sacramental record,,,,,godparent of Jane,6183,,,Newtown,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
1,1288,6070,John,1831-04-03,godparent,,might be a different John,sacramental record,,,,,godparent of Jane,6183,,,Newtown,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
1,1287,6068,Henny,1831-07-31,godparent,,,sacramental record,,,,,godparent of Mary Ann,6185,,,Newtown,,,,,MPA-101-9-NewtownSacramentalRegister-1819-1857.json
1,2066,4188,Mildred,1831-08-01,godparent,,,sacramental record,,,,,godparent of John Henry,4186,,,White Marsh,Peter Havermans,J037,,,1818-MPC-3-4-WhiteMarshBaptismalRegistry-1818-1833.json
